"Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,Dep_Delay,Arr_Delay,STD_hour,weekday,delay,takeoff_hour,landing_hour,takeoff_delay,landing_delay,STA_hour,DayOfWeek,Route,ScheduledHour,Weekday,AircraftEncoded,RouteEncoded,DepartureDelay"
" ,2025-07-21,Mumbai (BOM),Kolhapur (KLH),E75L (VT-GSI),0:39,1900-01-01 09:30:00,1900-01-01 13:03:00,1900-01-01 10:35:00,1900-01-01 13:42:00,213.0,187.0,9.0,Monday,187.0,9.0,10.0,213.0,187.0,10.0,0.0,Mumbai (BOM)-Kolhapur (KLH),9,0,224,32,213.0"
" ,2025-07-20,Mumbai (BOM),Kolhapur (KLH),E75L (VT-GSI),0:43,1900-01-01 09:30:00,1900-01-01 10:36:00,1900-01-01 10:35:00,1900-01-01 11:19:00,66.0,44.0,9.0,Sunday,44.0,9.0,10.0,66.0,44.0,10.0,6.0,Mumbai (BOM)-Kolhapur (KLH),9,6,224,32,66.0"
" ,2025-07-19,Mumbai (BOM),Kolhapur (KLH),E75L (VT-GSI),0:42,1900-01-01 09:30:00,1900-01-01 09:38:00,1900-01-01 10:35:00,1900-01-01 10:20:00,8.0,-15.0,9.0,Saturday,-15.0,9.0,10.0,8.0,-15.0,10.0,5.0,Mumbai (BOM)-Kolhapur (KLH),9,5,224,32,8.0"
" ,2025-07-25,Mumbai (BOM),Doha (DOH),B38M (A7-BSA),2:52,1900-01-01 09:35:00,1900-01-01 09:58:00,1900-01-01 10:35:00,1900-01-01 10:20:00,23.0,-15.0,9.0,Friday,-15.0,9.0,10.0,23.0,-15.0,10.0,4.0,Mumbai (BOM)-Doha (DOH),9,4,172,16,23.0"
" ,2025-07-24,Mumbai (BOM),Doha (DOH),B38M (A7-BSE),2:54,1900-01-01 09:35:00,1900-01-01 09:48:00,1900-01-01 10:35:00,1900-01-01 10:12:00,13.0,-23.0,9.0,Thursday,-23.0,9.0,10.0,13.0,-23.0,10.0,3.0,Mumbai (BOM)-Doha (DOH),9,3,173,16,13.0"
" ,2025-07-23,Mumbai (BOM),Doha (DOH),B38M (A7-BSE),2:49,1900-01-01 09:35:00,1900-01-01 09:53:00,1900-01-01 10:35:00,1900-01-01 10:13:00,18.0,-22.0,9.0,Wednesday,-22.0,9.0,10.0,18.0,-22.0,10.0,2.0,Mumbai (BOM)-Doha (DOH),9,2,173,16,18.0"
" ,2025-07-22,Mumbai (BOM),Doha (DOH),B38M (A7-BSE),2:51,1900-01-01 09:35:00,1900-01-01 11:10:00,1900-01-01 10:35:00,1900-01-01 11:31:00,95.0,56.0,9.0,Tuesday,56.0,9.0,10.0,95.0,56.0,10.0,1.0,Mumbai (BOM)-Doha (DOH),9,1,173,16,95.0"
" ,2025-07-21,Mumbai (BOM),Doha (DOH),A20N (VT-IXH),2:47,1900-01-01 09:35:00,1900-01-01 15:57:00,1900-01-01 10:35:00,1900-01-01 16:14:00,382.0,339.0,9.0,Monday,339.0,9.0,10.0,382.0,339.0,10.0,0.0,Mumbai (BOM)-Doha (DOH),9,0,46,16,382.0"
" ,2025-07-20,Mumbai (BOM),Doha (DOH),B38M (A7-BSE),2:51,1900-01-01 09:35:00,1900-01-01 09:47:00,1900-01-01 10:35:00,1900-01-01 10:07:00,12.0,-28.0,9.0,Sunday,-28.0,9.0,10.0,12.0,-28.0,10.0,6.0,Mumbai (BOM)-Doha (DOH),9,6,173,16,12.0"
" ,2025-07-19,Mumbai (BOM),Doha (DOH),B38M (A7-BSE),2:52,1900-01-01 09:35:00,1900-01-01 09:46:00,1900-01-01 10:35:00,1900-01-01 10:08:00,11.0,-27.0,9.0,Saturday,-27.0,9.0,10.0,11.0,-27.0,10.0,5.0,Mumbai (BOM)-Doha (DOH),9,5,173,16,11.0"
